timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2025-02-20T00:00:00.000Z";"2025-02-20T23:59:59.999Z";"2025-02-20T14:38:00.000Z";"2025-02-20T00:39:00.000Z";"2790";162.1795570549;168.9097238397;161.0710579297;167.6321698299;3211889224.449991;82539022017.72902;"2025-02-20T23:59:59.999Z"
"2025-02-19T00:00:00.000Z";"2025-02-19T23:59:59.999Z";"2025-02-19T11:58:00.000Z";"2025-02-19T05:01:00.000Z";"2790";161.8421567172;167.0568377481;156.875039627;162.1802330219;3558423399.0753517;79022534491.26738;"2025-02-19T23:59:59.999Z"
"2025-02-18T00:00:00.000Z";"2025-02-18T23:59:59.999Z";"2025-02-18T03:11:00.000Z";"2025-02-18T17:35:00.000Z";"2790";169.4822467319;170.940021828;154.397863147;161.8293971487;6376092375.7210865;78783831764.11314;"2025-02-18T23:59:59.999Z"
"2025-02-17T00:00:00.000Z";"2025-02-17T23:59:59.999Z";"2025-02-17T01:57:00.000Z";"2025-02-17T19:05:00.000Z";"2790";179.6859685602;180.4230694935;167.2024842674;169.4623496585;4142408302.448192;82729857239.75229;"2025-02-17T23:59:59.999Z"
"2025-02-16T00:00:00.000Z";"2025-02-16T23:59:59.999Z";"2025-02-16T06:32:00.000Z";"2025-02-16T21:19:00.000Z";"2790";185.3702913285;186.8850131411;178.3243886303;179.6874847178;2059572202.9715142;87740074937.69414;"2025-02-16T23:59:59.999Z"
"2025-02-15T00:00:00.000Z";"2025-02-15T23:59:59.999Z";"2025-02-15T02:13:00.000Z";"2025-02-15T20:55:00.000Z";"2790";190.4576974838;190.5906645734;183.7810304716;185.3711888678;1781046643.5594537;90481691429.0335;"2025-02-15T23:59:59.999Z"
"2025-02-14T00:00:00.000Z";"2025-02-14T23:59:59.999Z";"2025-02-14T18:15:00.000Z";"2025-02-14T00:01:00.000Z";"2790";185.897591069;195.2892738102;185.8015058086;190.4785134698;3568092907.5612564;93307450309.50783;"2025-02-14T23:59:59.999Z"
"2025-02-13T00:00:00.000Z";"2025-02-13T23:59:59.999Z";"2025-02-13T04:01:00.000Z";"2025-02-13T14:20:00.000Z";"2790";189.3792459942;190.3093117462;182.3488120744;185.8943583145;2651861876.848767;91359682829.5677;"2025-02-13T23:59:59.999Z"
"2025-02-12T00:00:00.000Z";"2025-02-12T23:59:59.999Z";"2025-02-12T13:28:00.000Z";"2025-02-12T16:28:00.000Z";"2790";191.0008543502;191.4856152662;183.1367204449;189.4028588512;4139496530.853203;92672315706.9245;"2025-02-12T23:59:59.999Z"
"2025-02-11T00:00:00.000Z";"2025-02-11T23:59:59.999Z";"2025-02-11T06:55:00.000Z";"2025-02-11T19:49:00.000Z";"2790";194.4771791071;199.7886761125;188.4983376053;191.0094215245;3792899461.454204;93793161731.41011;"2025-02-11T23:59:59.999Z"
"2025-02-10T00:00:00.000Z";"2025-02-10T23:59:59.999Z";"2025-02-10T14:02:00.000Z";"2025-02-10T02:17:00.000Z";"2790";194.407105165;202.2588239849;190.5461018323;194.5159735255;3981624969.755104;94786458974.97885;"2025-02-10T23:59:59.999Z"
"2025-02-09T00:00:00.000Z";"2025-02-09T23:59:59.999Z";"2025-02-09T05:50:00.000Z";"2025-02-09T21:55:00.000Z";"2790";193.2512207558;200.6920137661;188.9027841584;194.4437412457;3273503201.3000636;94698148330.17296;"2025-02-09T23:59:59.999Z"
"2025-02-08T00:00:00.000Z";"2025-02-08T23:59:59.999Z";"2025-02-08T23:44:00.000Z";"2025-02-08T07:20:00.000Z";"2790";186.0355310707;194.4539515769;184.0283041641;193.2610111018;2310919053.2594924;94239653660.64488;"2025-02-08T23:59:59.999Z"
"2025-02-07T00:00:00.000Z";"2025-02-07T23:59:59.999Z";"2025-02-07T15:00:00.000Z";"2025-02-07T22:07:00.000Z";"2790";182.7116281187;195.6142517398;182.4993088454;186.0375696148;4423229126.410932;90259705426.97835;"2025-02-07T23:59:59.999Z"
"2025-02-06T00:00:00.000Z";"2025-02-06T23:59:59.999Z";"2025-02-06T06:58:00.000Z";"2025-02-06T23:44:00.000Z";"2790";188.4452288927;196.2811753985;181.1896694763;182.7493984377;3785074876.024116;88883182623.7564;"2025-02-06T23:59:59.999Z"
